country,date,Daily Vaccinations
United Kingdom,2020-12-23,46706.0
United Kingdom,2020-12-24,46706.0
United Kingdom,2020-12-25,46706.0
United Kingdom,2020-12-26,46706.0
United Kingdom,2020-12-27,46706.0
United Kingdom,2020-12-28,48055.0
United Kingdom,2020-12-29,49404.0
United Kingdom,2020-12-30,50753.0
United Kingdom,2020-12-31,52102.0
United Kingdom,2021-01-01,53451.0
United Kingdom,2021-01-02,54800.0
United Kingdom,2021-01-03,56148.0
United Kingdom,2021-01-04,74419.0
United Kingdom,2021-01-05,92690.0
United Kingdom,2021-01-06,110961.0
United Kingdom,2021-01-07,129232.0
United Kingdom,2021-01-08,147503.0
United Kingdom,2021-01-09,165774.0
United Kingdom,2021-01-10,184045.0
United Kingdom,2021-01-11,181445.0
United Kingdom,2021-01-12,187114.0
United Kingdom,2021-01-13,202063.0
United Kingdom,2021-01-14,221763.0
United Kingdom,2021-01-15,242366.0
United Kingdom,2021-01-16,256129.0
United Kingdom,2021-01-17,262404.0
United Kingdom,2021-01-18,268518.0
United Kingdom,2021-01-19,286118.0
United Kingdom,2021-01-20,297294.0
United Kingdom,2021-01-21,310246.0
United Kingdom,2021-01-22,331933.0
United Kingdom,2021-01-23,362307.0
United Kingdom,2021-01-24,361321.0
United Kingdom,2021-01-25,371761.0
United Kingdom,2021-01-26,366883.0
United Kingdom,2021-01-27,359424.0
United Kingdom,2021-01-28,359934.0
United Kingdom,2021-01-29,361343.0
United Kingdom,2021-01-30,377914.0
United Kingdom,2021-01-31,392361.0
United Kingdom,2021-02-01,402534.0
Greece,2020-12-28,0.0
Greece,2020-12-29,670.0
Greece,2020-12-30,662.0
Greece,2020-12-31,642.0
Greece,2021-01-01,551.0
Greece,2021-01-02,549.0
Greece,2021-01-03,576.0
Greece,2021-01-04,1370.0
Greece,2021-01-05,2168.0
Greece,2021-01-06,2680.0
Greece,2021-01-07,3385.0
Greece,2021-01-08,4599.0
Greece,2021-01-09,5290.0
Greece,2021-01-10,5748.0
Greece,2021-01-11,5667.0
Greece,2021-01-12,5709.0
Greece,2021-01-13,6308.0
Greece,2021-01-14,6384.0
Greece,2021-01-15,5784.0
Greece,2021-01-16,5654.0
Greece,2021-01-17,5486.0
Greece,2021-01-18,5083.0
Greece,2021-01-19,5283.0
Greece,2021-01-20,6102.0
Greece,2021-01-21,7522.0
Greece,2021-01-22,9371.0
Greece,2021-01-23,11092.0
Greece,2021-01-24,12128.0
Greece,2021-01-25,13165.0
Greece,2021-01-26,14658.0
Greece,2021-01-27,15200.0
Greece,2021-01-28,15532.0
Greece,2021-01-29,15776.0
Greece,2021-01-30,15960.0
Greece,2021-01-31,16092.0
Greece,2021-02-01,16224.0
Greece,2021-02-02,17125.0
Denmark,2020-12-27,0.0
Denmark,2020-12-28,1998.0
Denmark,2020-12-29,5558.0
Denmark,2020-12-30,7584.0
Denmark,2020-12-31,7272.0
Denmark,2021-01-01,6295.0
Denmark,2021-01-02,6751.0
Denmark,2021-01-03,6660.0
Denmark,2021-01-04,6725.0
Denmark,2021-01-05,7383.0
Denmark,2021-01-06,8593.0
Denmark,2021-01-07,10226.0
Denmark,2021-01-08,11109.0
Denmark,2021-01-09,10091.0
Denmark,2021-01-10,9333.0
Denmark,2021-01-11,9077.0
Denmark,2021-01-12,7182.0
Denmark,2021-01-13,6120.0
Denmark,2021-01-14,6136.0
Denmark,2021-01-15,7083.0
Denmark,2021-01-16,7468.0
Denmark,2021-01-17,7818.0
Denmark,2021-01-18,8586.0
Denmark,2021-01-19,9180.0
Denmark,2021-01-20,7860.0
Denmark,2021-01-21,5860.0
Denmark,2021-01-22,4601.0
Denmark,2021-01-23,5074.0
Denmark,2021-01-24,5635.0
Denmark,2021-01-25,5162.0
Denmark,2021-01-26,4781.0
Denmark,2021-01-27,4951.0
Denmark,2021-01-28,5578.0
Denmark,2021-01-29,7306.0
Denmark,2021-01-30,8110.0
Denmark,2021-01-31,8902.0
Denmark,2021-02-01,9629.0
Switzerland,2020-12-23,0.0
Switzerland,2020-12-24,3000.0
Switzerland,2020-12-25,3000.0
Switzerland,2020-12-26,3000.0
Switzerland,2020-12-27,3000.0
Switzerland,2020-12-28,3000.0
Switzerland,2020-12-29,3000.0
Switzerland,2020-12-30,3000.0
Switzerland,2020-12-31,3000.0
Switzerland,2021-01-01,3000.0
Switzerland,2021-01-02,3000.0
Switzerland,2021-01-03,3000.0
Switzerland,2021-01-04,3000.0
Switzerland,2021-01-05,3000.0
Switzerland,2021-01-06,3000.0
Switzerland,2021-01-07,3000.0
Switzerland,2021-01-08,3000.0
Switzerland,2021-01-09,3000.0
Switzerland,2021-01-10,3000.0
Switzerland,2021-01-11,3000.0
Switzerland,2021-01-12,3000.0
Switzerland,2021-01-13,3000.0
Switzerland,2021-01-14,3000.0
Switzerland,2021-01-15,3829.0
Switzerland,2021-01-16,4657.0
Switzerland,2021-01-17,5486.0
Switzerland,2021-01-18,6314.0
Switzerland,2021-01-19,7143.0
Switzerland,2021-01-20,10984.0
Switzerland,2021-01-21,14826.0
Switzerland,2021-01-22,14883.0
Switzerland,2021-01-23,14939.0
Switzerland,2021-01-24,14995.0
Switzerland,2021-01-25,15587.0
Switzerland,2021-01-26,16179.0
Switzerland,2021-01-27,13758.0
Switzerland,2021-01-28,11336.0
Switzerland,2021-01-29,11872.0
Switzerland,2021-01-30,14341.0
Switzerland,2021-01-31,16809.0
Portugal,2020-12-28,0.0
Portugal,2020-12-29,11873.0
Portugal,2020-12-30,11011.0
Portugal,2020-12-31,7770.0
Portugal,2021-01-01,6149.0
Portugal,2021-01-02,5177.0
Portugal,2021-01-03,4529.0
Portugal,2021-01-04,4360.0
Portugal,2021-01-05,3141.0
Portugal,2021-01-06,2169.0
Portugal,2021-01-07,3983.0
Portugal,2021-01-08,5796.0
Portugal,2021-01-09,6347.0
Portugal,2021-01-10,6898.0
Portugal,2021-01-11,7155.0
Portugal,2021-01-12,7412.0
Portugal,2021-01-13,7668.0
Portugal,2021-01-14,6406.0
Portugal,2021-01-15,5143.0
Portugal,2021-01-16,6571.0
Portugal,2021-01-17,8000.0
Portugal,2021-01-18,9429.0
Portugal,2021-01-19,10857.0
Portugal,2021-01-20,12286.0
Portugal,2021-01-21,13714.0
Portugal,2021-01-22,15143.0
Portugal,2021-01-23,15940.0
Portugal,2021-01-24,15242.0
Portugal,2021-01-25,14545.0
Portugal,2021-01-26,13847.0
Portugal,2021-01-27,13814.0
Portugal,2021-01-28,14164.0
Portugal,2021-01-29,14820.0
Portugal,2021-01-30,13930.0
Portugal,2021-01-31,13398.0
Portugal,2021-02-01,12189.0
Bulgaria,2020-12-29,0.0
Bulgaria,2020-12-30,2889.0
Bulgaria,2020-12-31,1477.0
Bulgaria,2021-01-01,1007.0
Bulgaria,2021-01-02,799.0
Bulgaria,2021-01-03,675.0
Bulgaria,2021-01-04,592.0
Bulgaria,2021-01-05,533.0
Bulgaria,2021-01-06,472.0
Bulgaria,2021-01-07,920.0
Bulgaria,2021-01-08,1231.0
Bulgaria,2021-01-09,1222.0
Bulgaria,2021-01-10,1246.0
Bulgaria,2021-01-11,1270.0
Bulgaria,2021-01-12,1476.0
Bulgaria,2021-01-13,1304.0
Bulgaria,2021-01-14,938.0
Bulgaria,2021-01-15,682.0
Bulgaria,2021-01-16,694.0
Bulgaria,2021-01-17,662.0
Bulgaria,2021-01-18,782.0
Bulgaria,2021-01-19,921.0
Bulgaria,2021-01-20,1013.0
Bulgaria,2021-01-21,1081.0
Bulgaria,2021-01-22,1139.0
Bulgaria,2021-01-23,1112.0
Bulgaria,2021-01-24,1099.0
Bulgaria,2021-01-25,1023.0
Bulgaria,2021-01-26,985.0
Bulgaria,2021-01-27,1256.0
Bulgaria,2021-01-28,1769.0
Bulgaria,2021-01-29,2101.0
Bulgaria,2021-01-30,2129.0
Bulgaria,2021-01-31,2140.0
Bulgaria,2021-02-01,2262.0
Bulgaria,2021-02-02,2399.0
Argentina,2020-12-29,0.0
Argentina,2020-12-30,15656.0
Argentina,2020-12-31,15656.0
Argentina,2021-01-01,11070.0
Argentina,2021-01-02,8776.0
Argentina,2021-01-03,7400.0
Argentina,2021-01-04,6483.0
Argentina,2021-01-05,7984.0
Argentina,2021-01-06,8173.0
Argentina,2021-01-07,8363.0
Argentina,2021-01-08,10519.0
Argentina,2021-01-09,11942.0
Argentina,2021-01-10,13365.0
Argentina,2021-01-11,14788.0
Argentina,2021-01-12,14056.0
Argentina,2021-01-13,13323.0
Argentina,2021-01-14,13320.0
Argentina,2021-01-15,13317.0
Argentina,2021-01-16,12971.0
Argentina,2021-01-17,12624.0
Argentina,2021-01-18,12278.0
Argentina,2021-01-19,11932.0
Argentina,2021-01-20,11586.0
Argentina,2021-01-21,11704.0
Argentina,2021-01-22,11263.0
Argentina,2021-01-23,11124.0
Argentina,2021-01-24,10342.0
Argentina,2021-01-25,9046.0
Argentina,2021-01-26,9626.0
Argentina,2021-01-27,10014.0
Argentina,2021-01-28,8896.0
Argentina,2021-01-29,9205.0
Argentina,2021-01-30,11189.0
Argentina,2021-01-31,11299.0
Argentina,2021-02-01,11924.0
Luxembourg,2020-12-30,0.0
Luxembourg,2020-12-31,62.0
Luxembourg,2021-01-01,62.0
Luxembourg,2021-01-02,62.0
Luxembourg,2021-01-03,62.0
Luxembourg,2021-01-04,62.0
Luxembourg,2021-01-05,62.0
Luxembourg,2021-01-06,62.0
Luxembourg,2021-01-07,62.0
Luxembourg,2021-01-08,62.0
Luxembourg,2021-01-09,62.0
Luxembourg,2021-01-10,62.0
Luxembourg,2021-01-11,62.0
Luxembourg,2021-01-12,114.0
Luxembourg,2021-01-13,177.0
Luxembourg,2021-01-14,220.0
Luxembourg,2021-01-15,236.0
Luxembourg,2021-01-16,252.0
Luxembourg,2021-01-17,268.0
Luxembourg,2021-01-18,375.0
Luxembourg,2021-01-19,417.0
Luxembourg,2021-01-20,475.0
Luxembourg,2021-01-21,523.0
Luxembourg,2021-01-22,558.0
Luxembourg,2021-01-23,592.0
Luxembourg,2021-01-24,626.0
Luxembourg,2021-01-25,569.0
Luxembourg,2021-01-26,604.0
Luxembourg,2021-01-27,608.0
Luxembourg,2021-01-28,639.0
Luxembourg,2021-01-29,630.0
Luxembourg,2021-01-30,622.0
Luxembourg,2021-01-31,613.0
Luxembourg,2021-02-01,670.0
Germany,2020-12-27,0.0
Germany,2020-12-28,19834.0
Germany,2020-12-29,31540.0
Germany,2020-12-30,40237.0
Germany,2020-12-31,39693.0
Germany,2021-01-01,36647.0
Germany,2021-01-02,38967.0
Germany,2021-01-03,36969.0
Germany,2021-01-04,41097.0
Germany,2021-01-05,42356.0
Germany,2021-01-06,42467.0
Germany,2021-01-07,45401.0
Germany,2021-01-08,50402.0
Germany,2021-01-09,51249.0
Germany,2021-01-10,52426.0
Germany,2021-01-11,54817.0
Germany,2021-01-12,59072.0
Germany,2021-01-13,64751.0
Germany,2021-01-14,70733.0
Germany,2021-01-15,75495.0
Germany,2021-01-16,75552.0
Germany,2021-01-17,77170.0
Germany,2021-01-18,78376.0
Germany,2021-01-19,80021.0
Germany,2021-01-20,84099.0
Germany,2021-01-21,83160.0
Germany,2021-01-22,86092.0
Germany,2021-01-23,90863.0
Germany,2021-01-24,93841.0
Germany,2021-01-25,96996.0
Germany,2021-01-26,98023.0
Germany,2021-01-27,95424.0
Germany,2021-01-28,96060.0
Germany,2021-01-29,94595.0
Germany,2021-01-30,92327.0
Germany,2021-01-31,91481.0
Germany,2021-02-01,92043.0
United States,2020-12-20,0.0
United States,2020-12-21,57909.0
United States,2020-12-22,127432.0
United States,2020-12-23,150606.0
United States,2020-12-24,191001.0
United States,2020-12-25,215238.0
United States,2020-12-26,231396.0
United States,2020-12-27,211379.0
United States,2020-12-28,216147.0
United States,2020-12-29,235685.0
United States,2020-12-30,255223.0
United States,2020-12-31,278776.0
United States,2021-01-01,302329.0
United States,2021-01-02,325882.0
United States,2021-01-03,336949.0
United States,2021-01-04,348017.0
United States,2021-01-05,339372.0
United States,2021-01-06,358887.0
United States,2021-01-07,378253.0
United States,2021-01-08,419933.0
United States,2021-01-09,461263.0
United States,2021-01-10,546636.0
United States,2021-01-11,632009.0
United States,2021-01-12,641524.0
United States,2021-01-13,710238.0
United States,2021-01-14,747082.0
United States,2021-01-15,798707.0
United States,2021-01-16,811670.0
United States,2021-01-17,824632.0
United States,2021-01-18,837595.0
United States,2021-01-19,911493.0
United States,2021-01-20,892403.0
United States,2021-01-21,913912.0
United States,2021-01-22,975540.0
United States,2021-01-23,1057387.0
United States,2021-01-24,1122182.0
United States,2021-01-25,1126251.0
United States,2021-01-26,1119058.0
United States,2021-01-27,1161050.0
United States,2021-01-28,1235330.0
United States,2021-01-29,1253815.0
United States,2021-01-30,1291416.0
United States,2021-01-31,1324949.0
United States,2021-02-01,1355451.0
United States,2021-02-02,1319981.0
Mexico,2020-12-24,0.0
Mexico,2020-12-25,1300.0
Mexico,2020-12-26,1300.0
Mexico,2020-12-27,1300.0
Mexico,2020-12-28,1664.0
Mexico,2020-12-29,3121.0
Mexico,2020-12-30,3679.0
Mexico,2020-12-31,3695.0
Mexico,2021-01-01,4051.0
Mexico,2021-01-02,4407.0
Mexico,2021-01-03,4763.0
Mexico,2021-01-04,4912.0
Mexico,2021-01-05,4244.0
Mexico,2021-01-06,4027.0
Mexico,2021-01-07,4230.0
Mexico,2021-01-08,4984.0
Mexico,2021-01-09,5488.0
Mexico,2021-01-10,5876.0
Mexico,2021-01-11,6157.0
Mexico,2021-01-12,6378.0
Mexico,2021-01-13,19912.0
Mexico,2021-01-14,38797.0
Mexico,2021-01-15,49987.0
Mexico,2021-01-16,55493.0
Mexico,2021-01-17,55835.0
Mexico,2021-01-18,57924.0
Mexico,2021-01-19,57892.0
Mexico,2021-01-20,44066.0
Mexico,2021-01-21,31765.0
Mexico,2021-01-22,28205.0
Mexico,2021-01-23,22217.0
Mexico,2021-01-24,22498.0
Mexico,2021-01-25,21797.0
Mexico,2021-01-26,22028.0
Mexico,2021-01-27,22145.0
Mexico,2021-01-28,15072.0
Mexico,2021-01-29,6773.0
Mexico,2021-01-30,7363.0
Mexico,2021-01-31,6243.0
Mexico,2021-02-01,4300.0
Mexico,2021-02-02,3603.0
Belgium,2020-12-28,0.0
Belgium,2020-12-29,1.0
Belgium,2020-12-30,240.0
Belgium,2020-12-31,163.0
Belgium,2021-01-01,124.0
Belgium,2021-01-02,99.0
Belgium,2021-01-03,83.0
Belgium,2021-01-04,71.0
Belgium,2021-01-05,288.0
Belgium,2021-01-06,772.0
Belgium,2021-01-07,1921.0
Belgium,2021-01-08,3225.0
Belgium,2021-01-09,3679.0
Belgium,2021-01-10,3735.0
Belgium,2021-01-11,4512.0
Belgium,2021-01-12,6505.0
Belgium,2021-01-13,8851.0
Belgium,2021-01-14,10739.0
Belgium,2021-01-15,12627.0
Belgium,2021-01-16,12883.0
Belgium,2021-01-17,13274.0
Belgium,2021-01-18,13919.0
Belgium,2021-01-19,14328.0
Belgium,2021-01-20,14280.0
Belgium,2021-01-21,15288.0
Belgium,2021-01-22,16090.0
Belgium,2021-01-23,16458.0
Belgium,2021-01-24,16274.0
Belgium,2021-01-25,16324.0
Belgium,2021-01-26,15196.0
Belgium,2021-01-27,14191.0
Belgium,2021-01-28,12655.0
Belgium,2021-01-29,10848.0
Belgium,2021-01-30,10218.0
Belgium,2021-01-31,10052.0
Belgium,2021-02-01,8978.0
Norway,2020-12-27,0.0
Norway,2020-12-28,600.0
Norway,2020-12-29,834.0
Norway,2020-12-30,697.0
Norway,2020-12-31,540.0
Norway,2021-01-01,434.0
Norway,2021-01-02,361.0
Norway,2021-01-03,310.0
Norway,2021-01-04,224.0
Norway,2021-01-05,560.0
Norway,2021-01-06,1785.0
Norway,2021-01-07,2710.0
Norway,2021-01-08,2940.0
Norway,2021-01-09,2959.0
Norway,2021-01-10,2974.0
Norway,2021-01-11,3023.0
Norway,2021-01-12,3145.0
Norway,2021-01-13,3243.0
Norway,2021-01-14,3504.0
Norway,2021-01-15,3912.0
Norway,2021-01-16,3997.0
Norway,2021-01-17,4032.0
Norway,2021-01-18,4203.0
Norway,2021-01-19,4348.0
Norway,2021-01-20,4470.0
Norway,2021-01-21,4465.0
Norway,2021-01-22,4288.0
Norway,2021-01-23,4234.0
Norway,2021-01-24,4194.0
Norway,2021-01-25,4055.0
Norway,2021-01-26,3881.0
Norway,2021-01-27,4964.0
Norway,2021-01-28,6131.0
Norway,2021-01-29,6439.0
Norway,2021-01-30,6428.0
Norway,2021-01-31,6437.0
Norway,2021-02-01,6413.0
Romania,2020-12-28,0.0
Romania,2020-12-29,712.0
Romania,2020-12-30,1800.0
Romania,2020-12-31,2741.0
Romania,2021-01-01,2398.0
Romania,2021-01-02,2235.0
Romania,2021-01-03,1922.0
Romania,2021-01-04,3349.0
Romania,2021-01-05,5547.0
Romania,2021-01-06,7555.0
Romania,2021-01-07,9444.0
Romania,2021-01-08,11579.0
Romania,2021-01-09,12723.0
Romania,2021-01-10,13528.0
Romania,2021-01-11,14240.0
Romania,2021-01-12,14120.0
Romania,2021-01-13,13673.0
Romania,2021-01-14,13030.0
Romania,2021-01-15,12995.0
Romania,2021-01-16,13398.0
Romania,2021-01-17,13824.0
Romania,2021-01-18,15721.0
Romania,2021-01-19,18514.0
Romania,2021-01-20,22017.0
Romania,2021-01-21,25783.0
Romania,2021-01-22,28895.0
Romania,2021-01-23,31828.0
Romania,2021-01-24,34461.0
Romania,2021-01-25,35627.0
Romania,2021-01-26,36905.0
Romania,2021-01-27,37474.0
Romania,2021-01-28,37329.0
Romania,2021-01-29,37295.0
Romania,2021-01-30,36216.0
Romania,2021-01-31,35019.0
Romania,2021-02-01,33793.0
Romania,2021-02-02,31479.0
Italy,2020-12-27,0.0
Italy,2020-12-28,948.0
Italy,2020-12-29,927.0
Italy,2020-12-30,2150.0
Italy,2020-12-31,7892.0
Italy,2021-01-01,8496.0
Italy,2021-01-02,13395.0
Italy,2021-01-03,16456.0
Italy,2021-01-04,25983.0
Italy,2021-01-05,37100.0
Italy,2021-01-06,45692.0
Italy,2021-01-07,55119.0
Italy,2021-01-08,67066.0
Italy,2021-01-09,73988.0
Italy,2021-01-10,77596.0
Italy,2021-01-11,79381.0
Italy,2021-01-12,79596.0
Italy,2021-01-13,83512.0
Italy,2021-01-14,83505.0
Italy,2021-01-15,82427.0
Italy,2021-01-16,79074.0
Italy,2021-01-17,75596.0
Italy,2021-01-18,70002.0
Italy,2021-01-19,63028.0
Italy,2021-01-20,54002.0
Italy,2021-01-21,45861.0
Italy,2021-01-22,37048.0
Italy,2021-01-23,33507.0
Italy,2021-01-24,33187.0
Italy,2021-01-25,37044.0
Italy,2021-01-26,43855.0
Italy,2021-01-27,49650.0
Italy,2021-01-28,57896.0
Italy,2021-01-29,67859.0
Italy,2021-01-30,74773.0
Italy,2021-01-31,78278.0
Italy,2021-02-01,79917.0
Italy,2021-02-02,78271.0
Croatia,2020-12-30,0.0
Croatia,2020-12-31,1105.0
Croatia,2021-01-01,1105.0
Croatia,2021-01-02,1105.0
Croatia,2021-01-03,1105.0
Croatia,2021-01-04,1036.0
Croatia,2021-01-05,989.0
Croatia,2021-01-06,1334.0
Croatia,2021-01-07,1662.0
Croatia,2021-01-08,2130.0
Croatia,2021-01-09,2689.0
Croatia,2021-01-10,2693.0
Croatia,2021-01-11,2748.0
Croatia,2021-01-12,2802.0
Croatia,2021-01-13,2479.0
Croatia,2021-01-14,2485.0
Croatia,2021-01-15,2364.0
Croatia,2021-01-16,2272.0
Croatia,2021-01-17,2510.0
Croatia,2021-01-18,2747.0
Croatia,2021-01-19,2984.0
Croatia,2021-01-20,3329.0
Croatia,2021-01-21,3343.0
Croatia,2021-01-22,3346.0
Croatia,2021-01-23,2960.0
Croatia,2021-01-24,2800.0
Croatia,2021-01-25,2640.0
Croatia,2021-01-26,2598.0
Croatia,2021-01-27,2448.0
Croatia,2021-01-28,2299.0
Croatia,2021-01-29,2150.0
Croatia,2021-01-30,2097.0
Croatia,2021-01-31,2045.0
Croatia,2021-02-01,1992.0
Oman,2020-12-28,0.0
Oman,2020-12-29,1646.0
Oman,2020-12-30,1663.0
Oman,2020-12-31,1600.0
Oman,2021-01-01,1289.0
Oman,2021-01-02,1103.0
Oman,2021-01-03,1185.0
Oman,2021-01-04,1287.0
Oman,2021-01-05,1341.0
Oman,2021-01-06,1280.0
Oman,2021-01-07,1199.0
Oman,2021-01-08,1158.0
Oman,2021-01-09,1113.0
Oman,2021-01-10,1012.0
Oman,2021-01-11,1080.0
Oman,2021-01-12,1128.0
Oman,2021-01-13,1249.0
Oman,2021-01-14,1328.0
Oman,2021-01-15,1358.0
Oman,2021-01-16,1393.0
Oman,2021-01-17,1363.0
Oman,2021-01-18,1210.0
Oman,2021-01-19,1057.0
Oman,2021-01-20,971.0
Oman,2021-01-21,817.0
Oman,2021-01-22,830.0
Oman,2021-01-23,843.0
Oman,2021-01-24,1046.0
Oman,2021-01-25,1121.0
Oman,2021-01-26,1165.0
Oman,2021-01-27,1071.0
Poland,2020-12-28,0.0
Poland,2020-12-29,4300.0
Poland,2020-12-30,17150.0
Poland,2020-12-31,15200.0
Poland,2021-01-01,11749.0
Poland,2021-01-02,9678.0
Poland,2021-01-03,8139.0
Poland,2021-01-04,12889.0
Poland,2021-01-05,19132.0
Poland,2021-01-06,17723.0
